claim_id,claim,topic,source_id,page_or_section,confidence,status,notes
CLM001,"В Москве в 1947 году официально запланировали 8 высотных зданий.",moscow_highrises,bib_004 (letopis.msu.ru) / D_LETOPIS_MSU_DECREE_1947,p.1 постановления,high,verified,"Постановление СМ СССР № 53 от 13.01.1947: «одного 32-этажного дома, двух 26-этажных домов и пяти 16-этажных домов» (1+2+5=8)"
CLM002,"Построено было 7.",moscow_highrises,(общее знание),,high,verified,"Котельническая, Кудринская, Красные Ворота, Смоленская, Каланчёвская (Ленинградская), Дорогомиловская (Украина), МИД, МГУ — реализовано 7 из 8"
CLM003,"Восьмое планировалось в Зарядье.",eighth_highrise_zaryadye,bib_004 / bib_011,D_LETOPIS_MSU_DECREE_1947 п.3; фонд Р-694 дело 547,high,verified,"Постановление 1947 г. указывает на 26-этажное административное здание в Зарядье «на месте предполагавшегося Дома Совнаркома»"
CLM004,"Термин «восьмая высотка» относится прежде всего к Зарядью.",eighth_highrise_zaryadye,bib_005,bib_005 / D_RSL_VYSOTNYE_ZDANIYA_9v_t8,high,verified,"Том 8 альбома «Высотные здания в Москве. Проекты» — административное здание в Зарядье"
CLM005,"Александр Власов был главным архитектором Киева после войны.",postwar_khreshchatyk / architects,bib_001 / bib_002,D_BIRDINFLIGHT_SHYROCHYN_2020; D_MYSLENEDREVO_MOKROUSOVA,high,verified,"Упоминание в обоих источниках; фотоподтверждение в подписях (1935–1947)"
CLM006,"Для Крещатика, 36 существовал высотный проект со шпилем.",kyiv_khreshchatyk_36,bib_001 (Bird in Flight) + bib_002 (myslenedrevo),D_KHRESHCHATYK_36_BIRDINFLIGHT_RECONSTRUCTION (modern_redrawing),medium,probable,"Изображение Анны Булавиной в Bird in Flight; архив дело №1024 (Киевпроект); подтверждено двумя независимыми вторичными источниками"
CLM007,"Этажность проекта Крещатика, 36 расходится в источниках.",kyiv_khreshchatyk_36,bib_001,bib_001,low,conflicting_sources,"В открытых источниках называются разные числа; не выбран «правильный» вариант"
CLM008,"Гостиница «Москва» в Киеве первоначально проектировалась с высотной башней и шпилем.",hotel_moscow_ukraine_kyiv,bib_001 (Bird in Flight),D_BIRDINFLIGHT_SHYROCHYN_2020,medium,probable,"Bird in Flight упоминает «hotel 1944 — Vlasov» и группу 1949 (Добровольский+Власов и др.) как высотный вариант"
CLM009,"Построенный вариант гостиницы «Москва» / «Украина» был существенно упрощен.",hotel_moscow_ukraine_kyiv,bib_001 / общее знание,D_BIRDINFLIGHT_SHYROCHYN_2020,high,probable,"Подтверждение через сопоставление реализованного здания с высотными конкурсными предложениями"
CLM010,"Дом Гинзбурга ранее занимал участок / городскую доминанту, связанную с местом будущей гостиницы «Украина».",ginzburg_skyscraper + hotel_moscow_ukraine_kyiv,bib_001,D_BIRDINFLIGHT_SHYROCHYN_2020,medium,probable,"Bird in Flight упоминает связь; точные адреса уточняются"
CLM011,"Архитектурная связь киевской гостиницы «Москва» с типологией московских высоток подтверждается источниками.",hotel_moscow_ukraine_kyiv + moscow_highrises,bib_001 / bib_003,D_BIRDINFLIGHT_SHYROCHYN_2020; D_INHA_BELLAT_2023,medium,probable,"Bellat 2023 — академический источник; Bird in Flight — иллюстрации проекта"
CLM012,"Намеренное парное именование «Москва» (Киев) ↔ «Украина» (Москва) пока не доказано.",hotel_moscow_ukraine_kyiv,(общеупотребительная гипотеза),,low,hypothesis,"Источники с обеими гостиницами одновременно существуют (1957 Москва, 1961 Киев); документ о парном именовании не найден"
CLM013,"Название киевской гостиницы было изменено с «Москва» на «Украина» в постсоветский период.",hotel_moscow_ukraine_kyiv,общеупотребительное знание,,medium,probable,"Подтверждено многочисленными источниками; точная дата — конфликт"
CLM014,"Точную дату переименования киевской гостиницы необходимо подтверждать официальным источником.",hotel_moscow_ukraine_kyiv,multiple sources,,low,conflicting_sources,"В разных источниках упоминаются 1997, 1999, 2001 гг.; требуется доступ к распорядительному документу Киевсовета"
CLM015,"Гипотеза о цельной системе высотных доминант послевоенного Киева требует дальнейшей проверки.",postwar_khreshchatyk + architects,multiple secondary sources,,low,hypothesis,"Косвенные подтверждения через упоминания Власова, Заварова, Добровольского в многочисленных сталинских проектах; единый документ с описанием концепции силуэта не найден"
CLM016,"Достижение 1940 — разрушение центра Киева в Великой Отечественной войне (включая дом Гинзбурга).",ginzburg_skyscraper + postwar_khreshchatyk,общеизвестный факт,,high,verified,"Принимается как предпосылка; точные даты разрушения дома Гинзбурга — уточняются"
CLM017,"13 января 1947 г. — дата постановления Совета Министров СССР № 53 о восьми высотных зданиях.",moscow_highrises,bib_004 (letopis.msu.ru),D_LETOPIS_MSU_DECREE_1947,high,verified,"Подписано И. Сталиным и Я. Чадаевым 13.01.1947 г., текст опубликован"
